name,value,year,lastValue,rank,index
Amazon,37101,2014.9,36254,10,149
BMW,36912.2,2014.9,36612.4,11,149
Mercedes-Benz,36473.7,2014.9,36236.4,12,149
Apple,170276,2015,165134.7,1,150
Google,120314,2015,119026.5,2,150
Coca-Cola,78423,2015,78737,3,150
Microsoft,67670,2015,67018.4,4,150
IBM,65095,2015,65809.9,5,150
Toyota,49048,2015,48382.4,6,150
Samsung,45297,2015,45313.5,7,150
GE,42267,2015,42588.3,8,150
McDonald's,39809,2015,40053.5,9,150
Amazon,37948,2015,37101,10,150
BMW,37212,2015,36912.2,11,150
Mercedes-Benz,36711,2015,36473.7,12,150
Apple,171060.3,2015.1,170276,1,151
Google,121607.8,2015.1,120314,2,151
Coca-Cola,77890.9,2015.1,78423,3,151
Microsoft,68182.5,2015.1,67670,4,151
IBM,63835.5,2015.1,65095,5,151
Toyota,49501.2,2015.1,49048,6,151
Samsung,45948.1,2015.1,45297,7,151
GE,42353.3,2015.1,42267,8,151
McDonald's,39766.2,2015.1,39809,9,151
Amazon,39187,2015.1,37948,10,151
BMW,37644.3,2015.1,37212,11,151
Mercedes-Benz,37388.9,2015.1,36711,12,151
Apple,171844.6,2015.2,171060.3,1,152
Google,122901.6,2015.2,121607.8,2,152
Coca-Cola,77358.8,2015.2,77890.9,3,152
Microsoft,68695,2015.2,68182.5,4,152
IBM,62576,2015.2,63835.5,5,152
Toyota,49954.4,2015.2,49501.2,6,152
Samsung,46599.2,2015.2,45948.1,7,152
GE,42439.6,2015.2,42353.3,8,152
Amazon,40426,2015.2,39187,9,152
McDonald's,39723.4,2015.2,39766.2,10,152
BMW,38076.6,2015.2,37644.3,11,152
Mercedes-Benz,38066.8,2015.2,37388.9,12,152
Apple,172628.9,2015.3,171844.6,1,153
Google,124195.4,2015.3,122901.6,2,153
Coca-Cola,76826.7,2015.3,77358.8,3,153
Microsoft,69207.5,2015.3,68695,4,153
IBM,61316.5,2015.3,62576,5,153
Toyota,50407.6,2015.3,49954.4,6,153
Samsung,47250.3,2015.3,46599.2,7,153
GE,42525.9,2015.3,42439.6,8,153
Amazon,41665,2015.3,40426,9,153
McDonald's,39680.6,2015.3,39723.4,10,153
Mercedes-Benz,38744.7,2015.3,38066.8,11,153
BMW,38508.9,2015.3,38076.6,12,153
Apple,173413.2,2015.4,172628.9,1,154
Google,125489.2,2015.4,124195.4,2,154
Coca-Cola,76294.6,2015.4,76826.7,3,154
Microsoft,69720,2015.4,69207.5,4,154
IBM,60057,2015.4,61316.5,5,154
Toyota,50860.8,2015.4,50407.6,6,154
Samsung,47901.4,2015.4,47250.3,7,154
Amazon,42904,2015.4,41665,8,154
GE,42612.2,2015.4,42525.9,9,154
McDonald's,39637.8,2015.4,39680.6,10,154
Mercedes-Benz,39422.6,2015.4,38744.7,11,154
BMW,38941.2,2015.4,38508.9,12,154
Apple,174197.5,2015.5,173413.2,1,155
Google,126783,2015.5,125489.2,2,155
Coca-Cola,75762.5,2015.5,76294.6,3,155
Microsoft,70232.5,2015.5,69720,4,155
IBM,58797.5,2015.5,60057,5,155
Toyota,51314,2015.5,50860.8,6,155
Samsung,48552.5,2015.5,47901.4,7,155
Amazon,44143,2015.5,42904,8,155
GE,42698.5,2015.5,42612.2,9,155
Mercedes-Benz,40100.5,2015.5,39422.6,10,155
McDonald's,39595,2015.5,39637.8,11,155
BMW,39373.5,2015.5,38941.2,12,155
Apple,174981.8,2015.6,174197.5,1,156
Google,128076.8,2015.6,126783,2,156
Coca-Cola,75230.4,2015.6,75762.5,3,156
Microsoft,70745,2015.6,70232.5,4,156
IBM,57538,2015.6,58797.5,5,156
Toyota,51767.2,2015.6,51314,6,156
Samsung,49203.6,2015.6,48552.5,7,156
Amazon,45382,2015.6,44143,8,156
GE,42784.8,2015.6,42698.5,9,156
Mercedes-Benz,40778.4,2015.6,40100.5,10,156
BMW,39805.8,2015.6,39373.5,11,156
McDonald's,39552.2,2015.6,39595,12,156
Apple,175766.1,2015.7,174981.8,1,157
Google,129370.6,2015.7,128076.8,2,157
Coca-Cola,74698.3,2015.7,75230.4,3,157
Microsoft,71257.5,2015.7,70745,4,157
IBM,56278.5,2015.7,57538,5,157
Toyota,52220.4,2015.7,51767.2,6,157
Samsung,49854.7,2015.7,49203.6,7,157
Amazon,46621,2015.7,45382,8,157
GE,42871.1,2015.7,42784.8,9,157
Mercedes-Benz,41456.3,2015.7,40778.4,10,157
BMW,40238.1,2015.7,39805.8,11,157
McDonald's,39509.4,2015.7,39552.2,12,157
Apple,176550.4,2015.8,175766.1,1,158
Google,130664.4,2015.8,129370.6,2,158
Coca-Cola,74166.2,2015.8,74698.3,3,158
Microsoft,71770,2015.8,71257.5,4,158
IBM,55019,2015.8,56278.5,5,158
Toyota,52673.6,2015.8,52220.4,6,158
Samsung,50505.8,2015.8,49854.7,7,158
Amazon,47860,2015.8,46621,8,158
GE,42957.4,2015.8,42871.1,9,158
Mercedes-Benz,42134.2,2015.8,41456.3,10,158
BMW,40670.4,2015.8,40238.1,11,158
McDonald's,39466.6,2015.8,39509.4,12,158
Apple,177334.7,2015.9,176550.4,1,159
Google,131958.2,2015.9,130664.4,2,159
Coca-Cola,73634.1,2015.9,74166.2,3,159
Microsoft,72282.5,2015.9,71770,4,159
IBM,53759.5,2015.9,55019,5,159
Toyota,53126.8,2015.9,52673.6,6,159
Samsung,51156.9,2015.9,50505.8,7,159
Amazon,49099,2015.9,47860,8,159
GE,43043.7,2015.9,42957.4,9,159
Mercedes-Benz,42812.1,2015.9,42134.2,10,159
BMW,41102.7,2015.9,40670.4,11,159
McDonald's,39423.8,2015.9,39466.6,12,159
Apple,178119,2016,177334.7,1,160
Google,133252,2016,131958.2,2,160
Coca-Cola,73102,2016,73634.1,3,160
Microsoft,72795,2016,72282.5,4,160
Toyota,53580,2016,53126.8,5,160
IBM,52500,2016,53759.5,6,160
Samsung,51808,2016,51156.9,7,160
Amazon,50338,2016,49099,8,160
Mercedes-Benz,43490,2016,42812.1,9,160
GE,43130,2016,43043.7,10,160
BMW,41535,2016,41102.7,11,160
McDonald's,39381,2016,39423.8,12,160
Apple,178722.5,2016.1,178119,1,161
Google,134097.1,2016.1,133252,2,161
Microsoft,73515.4,2016.1,72795,3,161
Coca-Cola,72765.1,2016.1,73102,4,161
Toyota,53251.1,2016.1,53580,5,161
Samsung,52252.1,2016.1,51808,6,161
IBM,51932.9,2016.1,52500,7,161
Amazon,51783.8,2016.1,50338,8,161
Mercedes-Benz,43923.9,2016.1,43490,9,161
GE,43237.8,2016.1,43130,10,161
BMW,41533.6,2016.1,41535,11,161
McDonald's,39596.2,2016.1,39381,12,161
Apple,179326,2016.2,178722.5,1,162
Google,134942.2,2016.2,134097.1,2,162
Microsoft,74235.8,2016.2,73515.4,3,162
Coca-Cola,72428.2,2016.2,72765.1,4,162
Amazon,53229.6,2016.2,51783.8,5,162
Toyota,52922.2,2016.2,53251.1,6,162
Samsung,52696.2,2016.2,52252.1,7,162
IBM,51365.8,2016.2,51932.9,8,162
Mercedes-Benz,44357.8,2016.2,43923.9,9,162
GE,43345.6,2016.2,43237.8,10,162
BMW,41532.2,2016.2,41533.6,11,162
McDonald's,39811.4,2016.2,39596.2,12,162
Apple,179929.5,2016.3,179326,1,163
Google,135787.3,2016.3,134942.2,2,163
Microsoft,74956.2,2016.3,74235.8,3,163
Coca-Cola,72091.3,2016.3,72428.2,4,163
Amazon,54675.4,2016.3,53229.6,5,163
Samsung,53140.3,2016.3,52696.2,6,163
Toyota,52593.3,2016.3,52922.2,7,163
IBM,50798.7,2016.3,51365.8,8,163
Mercedes-Benz,44791.7,2016.3,44357.8,9,163
GE,43453.4,2016.3,43345.6,10,163
BMW,41530.8,2016.3,41532.2,11,163
McDonald's,40026.6,2016.3,39811.4,12,163
Apple,180533,2016.4,179929.5,1,164
Google,136632.4,2016.4,135787.3,2,164
Microsoft,75676.6,2016.4,74956.2,3,164
Coca-Cola,71754.4,2016.4,72091.3,4,164
Amazon,56121.2,2016.4,54675.4,5,164
Samsung,53584.4,2016.4,53140.3,6,164
Toyota,52264.4,2016.4,52593.3,7,164
IBM,50231.6,2016.4,50798.7,8,164
Mercedes-Benz,45225.6,2016.4,44791.7,9,164
GE,43561.2,2016.4,43453.4,10,164
BMW,41529.4,2016.4,41530.8,11,164
McDonald's,40241.8,2016.4,40026.6,12,164
Apple,181136.5,2016.5,180533,1,165
Google,137477.5,2016.5,136632.4,2,165
Microsoft,76397,2016.5,75676.6,3,165
Coca-Cola,71417.5,2016.5,71754.4,4,165
Amazon,57567,2016.5,56121.2,5,165
Samsung,54028.5,2016.5,53584.4,6,165
Toyota,51935.5,2016.5,52264.4,7,165
IBM,49664.5,2016.5,50231.6,8,165
Mercedes-Benz,45659.5,2016.5,45225.6,9,165
GE,43669,2016.5,43561.2,10,165
BMW,41528,2016.5,41529.4,11,165
McDonald's,40457,2016.5,40241.8,12,165
Apple,181740,2016.6,181136.5,1,166
Google,138322.6,2016.6,137477.5,2,166
Microsoft,77117.4,2016.6,76397,3,166
Coca-Cola,71080.6,2016.6,71417.5,4,166
Amazon,59012.8,2016.6,57567,5,166
Samsung,54472.6,2016.6,54028.5,6,166
Toyota,51606.6,2016.6,51935.5,7,166
IBM,49097.4,2016.6,49664.5,8,166
Mercedes-Benz,46093.4,2016.6,45659.5,9,166
GE,43776.8,2016.6,43669,10,166
Facebook,41950,2016.6,40390.5,11,166
BMW,41526.6,2016.6,41528,12,166
Apple,182343.5,2016.7,181740,1,167
Google,139167.7,2016.7,138322.6,2,167
Microsoft,77837.8,2016.7,77117.4,3,167
Coca-Cola,70743.7,2016.7,71080.6,4,167
Amazon,60458.6,2016.7,59012.8,5,167
Samsung,54916.7,2016.7,54472.6,6,167
Toyota,51277.7,2016.7,51606.6,7,167
IBM,48530.3,2016.7,49097.4,8,167
Mercedes-Benz,46527.3,2016.7,46093.4,9,167
GE,43884.6,2016.7,43776.8,10,167
Facebook,43509.5,2016.7,41950,11,167
BMW,41525.2,2016.7,41526.6,12,167
Apple,182947,2016.8,182343.5,1,168
Google,140012.8,2016.8,139167.7,2,168
Microsoft,78558.2,2016.8,77837.8,3,168
Coca-Cola,70406.8,2016.8,70743.7,4,168
Amazon,61904.4,2016.8,60458.6,5,168
Samsung,55360.8,2016.8,54916.7,6,168
Toyota,50948.8,2016.8,51277.7,7,168
IBM,47963.2,2016.8,48530.3,8,168
Mercedes-Benz,46961.2,2016.8,46527.3,9,168
Facebook,45069,2016.8,43509.5,10,168
GE,43992.4,2016.8,43884.6,11,168
BMW,41523.8,2016.8,41525.2,12,168
Apple,183550.5,2016.9,182947,1,169
Google,140857.9,2016.9,140012.8,2,169
Microsoft,79278.6,2016.9,78558.2,3,169
Coca-Cola,70069.9,2016.9,70406.8,4,169
Amazon,63350.2,2016.9,61904.4,5,169
Samsung,55804.9,2016.9,55360.8,6,169
Toyota,50619.9,2016.9,50948.8,7,169
IBM,47396.1,2016.9,47963.2,8,169
Mercedes-Benz,47395.1,2016.9,46961.2,9,169
Facebook,46628.5,2016.9,45069,10,169
GE,44100.2,2016.9,43992.4,11,169
BMW,41522.4,2016.9,41523.8,12,169
Apple,184154,2017,183550.5,1,170
Google,141703,2017,140857.9,2,170
Microsoft,79999,2017,79278.6,3,170
Coca-Cola,69733,2017,70069.9,4,170
Amazon,64796,2017,63350.2,5,170
Samsung,56249,2017,55804.9,6,170
Toyota,50291,2017,50619.9,7,170
Facebook,48188,2017,46628.5,8,170
Mercedes-Benz,47829,2017,47395.1,9,170
IBM,46829,2017,47396.1,10,170
GE,44208,2017,44100.2,11,170
McDonald's,41533,2017,41317.8,12,170
Apple,187186.6,2017.1,184154,1,171
Google,143083.3,2017.1,141703,2,171
Microsoft,81270.6,2017.1,79999,3,171
Coca-Cola,69393.8,2017.1,69733,4,171
Amazon,68392.8,2017.1,64796,5,171
Samsung,56613.1,2017.1,56249,6,171
Toyota,50602.3,2017.1,50291,7,171
Mercedes-Benz,47906.2,2017.1,47829,8,171
Facebook,47886,2017.1,48188,9,171
IBM,46443.3,2017.1,46829,10,171
GE,43062.9,2017.1,44208,11,171
McDonald's,41721.4,2017.1,41533,12,171
Apple,190219.2,2017.2,187186.6,1,172
Google,144463.6,2017.2,143083.3,2,172
Microsoft,82542.2,2017.2,81270.6,3,172
Amazon,71989.6,2017.2,68392.8,4,172
Coca-Cola,69054.6,2017.2,69393.8,5,172
Samsung,56977.2,2017.2,56613.1,6,172
Toyota,50913.6,2017.2,50602.3,7,172
Mercedes-Benz,47983.4,2017.2,47906.2,8,172
Facebook,47584,2017.2,47886,9,172
IBM,46057.6,2017.2,46443.3,10,172
GE,41917.8,2017.2,43062.9,11,172
McDonald's,41909.8,2017.2,41721.4,12,172
Apple,193251.8,2017.3,190219.2,1,173
Google,145843.9,2017.3,144463.6,2,173
Microsoft,83813.8,2017.3,82542.2,3,173
Amazon,75586.4,2017.3,71989.6,4,173
Coca-Cola,68715.4,2017.3,69054.6,5,173
Samsung,57341.3,2017.3,56977.2,6,173
Toyota,51224.9,2017.3,50913.6,7,173
Mercedes-Benz,48060.6,2017.3,47983.4,8,173
Facebook,47282,2017.3,47584,9,173
IBM,45671.9,2017.3,46057.6,10,173
McDonald's,42098.2,2017.3,41909.8,11,173
BMW,41366.5,2017.3,41418,12,173
Apple,196284.4,2017.4,193251.8,1,174
Google,147224.2,2017.4,145843.9,2,174
Microsoft,85085.4,2017.4,83813.8,3,174
Amazon,79183.2,2017.4,75586.4,4,174
Coca-Cola,68376.2,2017.4,68715.4,5,174
Samsung,57705.4,2017.4,57341.3,6,174
Toyota,51536.2,2017.4,51224.9,7,174
Mercedes-Benz,48137.8,2017.4,48060.6,8,174
Facebook,46980,2017.4,47282,9,174
IBM,45286.2,2017.4,45671.9,10,174
McDonald's,42286.6,2017.4,42098.2,11,174
BMW,41315,2017.4,41366.5,12,174
Apple,199317,2017.5,196284.4,1,175
Google,148604.5,2017.5,147224.2,2,175
Microsoft,86357,2017.5,85085.4,3,175
Amazon,82780,2017.5,79183.2,4,175
Coca-Cola,68037,2017.5,68376.2,5,175
Samsung,58069.5,2017.5,57705.4,6,175
Toyota,51847.5,2017.5,51536.2,7,175
Mercedes-Benz,48215,2017.5,48137.8,8,175
Facebook,46678,2017.5,46980,9,175
IBM,44900.5,2017.5,45286.2,10,175
McDonald's,42475,2017.5,42286.6,11,175
Intel,41376,2017.5,40992.6,12,175
Apple,202349.6,2017.6,199317,1,176
Google,149984.8,2017.6,148604.5,2,176
Microsoft,87628.6,2017.6,86357,3,176
Amazon,86376.8,2017.6,82780,4,176
Coca-Cola,67697.8,2017.6,68037,5,176
Samsung,58433.6,2017.6,58069.5,6,176
Toyota,52158.8,2017.6,51847.5,7,176
Mercedes-Benz,48292.2,2017.6,48215,8,176
Facebook,46376,2017.6,46678,9,176
IBM,44514.8,2017.6,44900.5,10,176
McDonald's,42663.4,2017.6,42475,11,176
Intel,41759.4,2017.6,41376,12,176
Apple,205382.2,2017.7,202349.6,1,177
Google,151365.1,2017.7,149984.8,2,177
Amazon,89973.6,2017.7,86376.8,3,177
Microsoft,88900.2,2017.7,87628.6,4,177
Coca-Cola,67358.6,2017.7,67697.8,5,177
Samsung,58797.7,2017.7,58433.6,6,177
Toyota,52470.1,2017.7,52158.8,7,177
Mercedes-Benz,48369.4,2017.7,48292.2,8,177
Facebook,46074,2017.7,46376,9,177
IBM,44129.1,2017.7,44514.8,10,177
McDonald's,42851.8,2017.7,42663.4,11,177
Intel,42142.8,2017.7,41759.4,12,177
Apple,208414.8,2017.8,205382.2,1,178
Google,152745.4,2017.8,151365.1,2,178
Amazon,93570.4,2017.8,89973.6,3,178
Microsoft,90171.8,2017.8,88900.2,4,178
Coca-Cola,67019.4,2017.8,67358.6,5,178
Samsung,59161.8,2017.8,58797.7,6,178
Toyota,52781.4,2017.8,52470.1,7,178
Mercedes-Benz,48446.6,2017.8,48369.4,8,178
Facebook,45772,2017.8,46074,9,178
IBM,43743.4,2017.8,44129.1,10,178
McDonald's,43040.2,2017.8,42851.8,11,178
Intel,42526.2,2017.8,42142.8,12,178
Apple,211447.4,2017.9,208414.8,1,179
Google,154125.7,2017.9,152745.4,2,179
Amazon,97167.2,2017.9,93570.4,3,179
Microsoft,91443.4,2017.9,90171.8,4,179
Coca-Cola,66680.2,2017.9,67019.4,5,179
Samsung,59525.9,2017.9,59161.8,6,179
Toyota,53092.7,2017.9,52781.4,7,179
Mercedes-Benz,48523.8,2017.9,48446.6,8,179
Facebook,45470,2017.9,45772,9,179
IBM,43357.7,2017.9,43743.4,10,179
McDonald's,43228.6,2017.9,43040.2,11,179
Intel,42909.6,2017.9,42526.2,12,179
Apple,214480,2018,211447.4,1,180
Google,155506,2018,154125.7,2,180
Amazon,100764,2018,97167.2,3,180
Microsoft,92715,2018,91443.4,4,180
Coca-Cola,66341,2018,66680.2,5,180
Samsung,59890,2018,59525.9,6,180
Toyota,53404,2018,53092.7,7,180
Mercedes-Benz,48601,2018,48523.8,8,180
Facebook,45168,2018,45470,9,180
McDonald's,43417,2018,43228.6,10,180
Intel,43293,2018,42909.6,11,180
IBM,42972,2018,43357.7,12,180
